Applied,Marks,NextMarks
0,53,89
1,65,68
0,70,86
0,65,94
0,57,61
1,50,64
0,67,69
0,64,74
0,75,80
1,86,90
1,78,81
0,62,94
0,54,76
0,62,67
0,83,94
0,77,98
0,51,57
0,88,92
0,84,90
0,52,88
0,84,96
0,78,86
0,85,95
0,90,99
0,62,86
0,84,95
0,91,96
0,82,85
0,64,91
0,92,95
1,50,68
0,66,94
0,80,89
0,56,65
1,66,72
0,96,99
0,58,83
1,96,99
0,88,96
0,56,69
0,70,74
0,64,71
0,87,93
0,63,80
0,82,91
0,90,99
1,91,91
1,85,90
1,99,99
1,75,90
0,86,96
0,85,88
1,98,98
0,87,95
0,66,81
0,71,83
1,74,74
0,95,97
0,82,94
0,76,83
0,51,64
0,52,97
1,99,99
1,94,97
1,66,76
0,66,98
1,86,87
0,71,77
0,61,92
0,83,88
1,73,94
0,64,80
0,66,91
0,88,96
0,64,74
0,95,98
1,88,94
0,88,91
0,61,84
1,88,95
0,53,94
1,58,96
0,87,93
1,98,99
0,67,84
0,60,86
0,79,95
1,90,99
0,68,90
0,56,92
0,83,95
1,97,99
0,91,96
1,80,84
0,74,91
0,50,96
0,74,98
0,55,97
0,69,83
1,55,57
1,68,69
0,80,98
1,69,76
0,63,95
0,82,92
0,53,98
1,83,84
0,62,69
1,93,93
0,89,94
0,76,80
0,78,99
1,98,98
1,78,99
0,71,93
0,56,75
1,87,87
0,78,84
0,76,85
0,58,85
1,50,51
1,78,82
0,74,78
0,92,95
1,76,97
0,93,96
0,73,92
1,65,69
1,93,93
1,99,99
0,84,89
0,77,98
1,91,92
1,99,99
0,67,83
0,52,84
1,91,91
0,73,82
0,84,89
0,67,96
0,79,89
1,95,98
0,72,75
0,55,65
1,83,92
0,57,84
0,71,77
0,71,91
1,98,98
0,76,98
0,66,91
1,91,91
0,54,87
0,50,88
0,93,97
1,88,89
0,58,63
1,64,65
0,88,95
0,74,82
1,88,96
0,65,70
1,78,91
1,99,99
0,52,78
0,81,95
1,88,97
0,54,70
0,74,94
0,92,96
1,82,85
0,59,60
1,98,99
0,86,98
0,62,76
0,79,97
0,91,94
1,96,96
0,75,90
0,52,87
0,67,91
0,87,98
0,58,96
0,78,94
0,51,73
0,85,95
1,56,56
0,59,85
0,96,99
0,84,95
0,63,89
1,99,99
0,50,89
1,95,98
1,83,85
0,85,99
1,64,64
0,54,87
0,64,74
0,63,84
0,72,84
0,67,86
0,93,97
0,53,58
0,61,70
0,65,79
1,96,98
0,83,94
0,76,89
0,79,95
0,69,88
1,85,87
0,72,89
0,82,99
0,85,96
0,55,69
0,92,95
0,57,73
0,55,99
1,87,87
0,69,76
0,93,98
0,55,65
0,50,77
0,67,84
1,63,65
0,58,85
0,88,99
0,63,75
0,64,70
1,99,99
0,52,88
1,92,93
0,74,90
0,83,87
1,98,99
0,77,93
1,90,91
0,63,97
0,76,90
1,72,99
1,94,95
0,68,80
0,86,99
0,76,84
0,68,79
0,90,95
0,84,94
0,76,83
1,54,68
0,76,97
0,79,92
1,98,99
1,91,95
0,52,77
0,77,83
1,95,96
1,98,99
0,80,94
0,81,98
0,86,96
0,66,93
0,71,95
1,64,99
0,66,91
0,62,98
0,57,84
0,72,82
0,68,88
1,88,90
0,75,93
0,56,70
0,56,95
0,74,92
0,53,58
0,89,97
1,87,87
0,79,96
0,80,82
1,52,53
0,65,79
0,72,80
0,63,83
0,55,94
0,75,96
0,52,98
0,75,77
1,92,93
0,75,88
0,94,98
0,60,94
